default,student,loan,income
0,1,810,20499
0,0,272,32850
0,0,1114,47714
0,0,867,33541
0,1,1177,17633
0,0,610,42465
0,0,273,55449
0,0,450,49643
0,1,828,10674
0,0,430,33925
0,0,0,31826
0,1,1557,18405
0,0,928,33722
0,0,1373,49102
0,1,951,18602
0,1,1292,23066
0,0,582,24761
0,1,339,19308
0,0,410,44641
0,0,1216,53640
0,0,598,44124
1,1,1487,17854
0,0,944,59977
0,0,0,49526
0,1,996,20883
0,1,748,11249
0,0,325,15412
0,1,575,16006
0,0,442,36012
0,0,1189,39527
0,0,95,51371
0,0,1016,43219
0,0,1259,44932
0,1,1178,7750
0,0,732,43956
0,0,350,44455
0,0,419,36902
0,0,533,39394
0,0,95,32359
0,1,1453,15933
0,0,353,39405
0,1,736,14108
0,0,1306,41225
0,0,1149,45195
0,0,703,57679
0,1,1361,18864
0,0,31,53287
0,0,988,48570
0,0,360,23928
0,0,647,33226
0,1,0,9817
0,0,445,31975
0,1,879,17497
0,1,336,21760
0,0,667,30438
0,0,814,40737
0,0,836,54607
0,0,967,33055
1,1,2206,14271
0,1,1258,11672
0,0,1240,40107
0,1,0,13760
0,1,928,22473
0,1,1390,21299
0,0,410,53471
0,0,73,30682
0,0,791,45303
0,0,789,32580
0,0,791,46319
0,0,479,37256
0,0,889,28900
0,0,1284,42832
0,1,712,23342
0,1,1291,18408
0,0,126,44281
0,0,779,61159
0,0,697,49477
0,0,607,43610
0,1,1803,21411
0,0,900,41277
0,0,966,33441
0,0,671,35689
0,0,172,23506
0,0,1482,45261
0,0,641,46465
0,1,706,18078
1,1,1775,20360
0,0,916,25768
0,0,1271,36054
0,0,111,47339
0,0,1747,37819
1,0,1890,48956
0,0,27,21052
0,0,746,35160
1,1,1899,20655
0,1,814,20392
0,0,499,38899
0,0,853,36272
0,0,475,32064
0,0,1236,35839
0,0,621,44214
0,0,220,37880
0,1,1305,18074
0,1,1608,22358
0,0,256,37657
0,1,1154,19225
0,0,772,31170
0,1,1100,17064
0,0,783,40357
0,0,444,35924
0,0,504,24781
0,0,1763,42125
0,1,850,18619
0,0,1412,40785
0,0,715,47483
0,0,1364,55713
0,0,493,42495
0,0,1355,33375
0,1,571,15416
0,0,956,44087
0,0,965,34391
0,0,553,50513
0,0,338,37767
0,0,709,44042
0,0,979,57839
0,0,371,15703
1,1,1573,14930
0,0,0,40150
1,0,1964,39055
0,0,548,33606
0,0,1257,34045
0,0,1190,38017
0,0,688,39374
0,0,846,39900
0,1,958,19676
0,0,234,43326
0,1,1127,14298
0,1,489,15159
0,0,768,44324
0,0,562,31389
0,1,1092,17455
0,0,72,31966
0,1,1839,13625
0,1,876,22475
0,0,554,30357
0,0,891,43945
0,0,465,27325
0,1,564,24082
1,0,1530,30004
0,0,991,41690
0,0,590,42769
0,1,715,21154
0,0,1540,41852
0,0,1243,41640
0,1,235,20910
0,0,528,49394
0,0,592,30731
0,0,705,42683
0,0,457,48196
0,1,471,18052
0,1,1503,10600
0,0,1363,44218
0,0,909,45033
0,1,1097,16148
0,0,369,47835
0,0,673,50256
0,0,1039,51173
0,0,0,28763
0,0,527,32431
0,0,817,32974
0,1,1549,19702
0,1,567,11854
0,0,1496,24936
0,0,863,42845
0,0,1259,31264
0,0,1025,43510
0,1,703,14794
0,1,1082,15175
0,0,910,44055
0,1,997,16996
0,0,354,58514
0,1,783,13300
0,0,1717,51057
0,1,503,15154
0,0,1033,59204
0,0,0,34925
0,1,1087,19264
0,0,1047,43900
0,0,1057,38368
0,1,979,26011
0,1,848,15979
0,0,782,50959
0,1,402,15904
0,0,205,17534
0,1,2023,18337
0,0,749,44187
0,0,838,35917
0,0,386,44694
0,0,812,49623
0,1,1810,6985
0,0,0,30361
0,1,1328,24688
0,1,1465,26717
0,0,1201,39719
0,0,990,27857
0,0,871,35539
0,1,1201,19850
0,1,1429,23205
0,0,0,33951
0,1,359,21783
0,0,266,40863
0,0,1028,44407
0,0,729,35042
0,0,1043,25867
0,0,230,37876
0,0,367,30611
0,1,738,20864
0,0,18,30349
0,0,1258,30835
0,0,456,40907
0,0,57,35458
0,1,724,12213
0,0,612,41380
0,1,1220,15308
0,0,1222,32363
0,0,1165,47684
1,0,1643,46857
0,0,944,56089
0,0,750,41424
0,0,370,31231
1,0,1992,42133
0,0,774,44562
0,1,817,20481
0,0,1061,50260
1,0,1550,56274
0,1,454,15092
0,1,1256,17785
0,0,1484,36731
0,1,1050,12662
0,0,986,45430
0,0,717,44266
0,0,692,47038
1,0,1329,34710
0,0,673,32930
0,0,219,48991
0,0,1218,43954
0,1,14,19323
0,1,531,21727
0,0,166,33436
0,1,1352,25891
0,0,107,54144
0,0,947,35604
0,1,435,14813
0,0,1020,37459
0,0,662,31598
0,1,754,20768
0,0,289,44413
0,0,198,36271
0,1,516,16615
0,0,698,41755
0,1,502,16947
0,1,1460,15575
0,0,717,34418
0,1,1038,18324
0,0,673,29736
0,0,372,41100
0,0,89,55605
0,0,1273,40895
0,0,601,18681
0,0,905,40712
0,0,1061,54437
0,0,1673,46335
0,1,884,19750
0,0,374,53936
0,0,1288,52383
0,0,1230,48740
0,1,511,22457
0,0,776,27206
0,0,1153,50207
0,1,1304,7986
0,0,1675,28245
0,0,398,30002
0,1,740,25024
0,0,226,32019
0,0,1217,25174
0,0,640,29902
0,1,883,12717
0,0,2,38187
0,0,420,55968
0,1,1544,11103
0,0,1101,32153
1,0,1701,30489
0,0,312,48301
0,0,443,55074
0,0,729,17910
0,0,279,37189
0,0,759,36626
0,0,620,22804
0,1,1890,18402
0,0,0,28951
0,1,1329,23184
0,0,1076,44129
0,0,619,54957
0,0,1111,27467
0,0,864,45882
0,0,895,48512
0,1,954,21909
0,0,948,46814
0,0,267,23118
0,1,1367,23913
0,0,625,38325
0,0,14,25222
0,0,786,44778
0,1,1353,18933
0,0,480,25553
0,0,0,29507
0,1,1222,17917
0,1,1185,25109
0,1,479,27512
0,0,222,34786
0,0,578,41054
0,1,1361,19577
0,1,978,19732
0,0,1184,36887
1,1,1119,21848
1,0,1119,37225
0,0,776,31329
0,0,1322,51792
0,0,878,27439
0,0,1268,16921
0,0,0,32611
0,0,0,37263
0,1,367,25833
0,0,748,39899
0,0,1787,37499
0,1,1929,14995
0,0,987,27961
0,1,856,20758
0,0,1101,18154
0,0,704,31516
0,0,556,40838
0,0,1073,44764
0,0,1126,32843
0,1,650,15708
0,0,978,43743
0,0,1050,42638
0,1,1384,15764
0,1,1095,14065
0,0,1089,30225
0,0,605,21792
0,0,1034,49262
0,0,1605,38187
0,0,826,24680
0,1,1176,16671
0,1,1275,19937
0,1,1290,23539
0,0,1133,51414
0,0,837,37400
0,1,379,18280
0,1,1134,12453
0,0,0,39120
0,0,1491,59394
0,1,1695,9583
0,0,706,54589
0,0,239,33743
0,1,1184,12429
0,0,899,38267
0,1,1524,11720
0,0,777,35115
0,0,1395,26075
0,1,0,20476
0,0,63,47947
1,0,1981,28128
0,0,514,50053
0,0,723,53714
0,0,153,33717
0,0,293,35390
0,0,0,38614
0,1,645,17878
0,1,1515,26047
0,1,767,18846
0,1,492,21715
0,0,0,41389
0,0,0,34589
0,0,509,40133
0,1,966,16440
0,1,1869,20490
0,0,403,41804
0,0,593,37671
0,0,0,44548
0,0,742,39367
0,1,1110,13014
0,0,772,49440
0,0,624,42493
0,1,500,22885
0,0,1089,60650
0,0,1556,49670
0,1,797,23559
0,0,416,38216
0,1,538,26833
0,1,1182,21086
0,1,836,9272
0,0,104,46928
0,0,564,53197
0,1,805,25091
0,0,1029,21218
0,0,749,8984
0,0,67,28736
0,0,453,48034
0,1,798,27724
0,1,1942,23467
0,0,1446,22996
0,0,761,61580
0,0,1350,43147
0,0,381,36943
0,1,1603,15906
0,0,148,37589
0,0,0,36283
0,1,733,18818
0,1,1083,26096
0,0,780,40804
0,0,994,65254
0,0,769,50071
0,1,684,4985
0,0,443,27898
1,0,1717,38409
0,0,0,36303
0,0,1092,44717
0,0,497,35147
0,1,1150,16908
1,0,1465,58700
0,0,565,41790
0,1,922,12224
0,1,176,11510
0,0,1025,49676
0,0,597,54092
0,0,750,53085
0,1,791,14184
0,0,112,42386
0,1,738,16093
0,0,1158,54420
0,0,1213,45150
0,0,1340,41656
0,0,588,56521
0,0,722,56376
0,0,681,43843
0,1,815,12072
0,0,1043,37170
0,1,663,20455
0,1,1479,18026
0,0,338,33656
0,1,1274,23127
0,0,114,49563
0,0,0,52296
0,1,1516,26378
0,1,898,24165
0,0,791,48220
0,0,0,29073
0,0,1273,49136
0,0,1279,36063
0,1,733,14569
1,0,1764,46227
0,1,1280,16311
0,0,1530,36913
0,1,345,18251
0,0,198,33724
1,1,1771,15976
0,1,639,17037
0,0,239,23527
0,0,391,45338
0,1,830,19477
0,1,1379,21614
0,0,242,37364
0,0,1237,36211
0,0,1064,34914
0,0,127,33819
0,0,758,38018
0,0,909,68759
0,0,559,46297
0,0,1819,36970
0,1,1111,19328
0,0,723,43459
0,0,972,18511
0,0,696,40741
0,1,1178,29363
0,1,330,19372
0,1,793,14546
0,0,1246,33692
0,0,592,41670
0,0,244,24854
0,0,1039,49945
0,0,679,49489
0,0,1061,40585
0,1,1268,11915
0,1,956,14737
0,0,1116,27883
0,1,601,22029
0,0,1098,52286
0,0,1043,45983
0,1,1321,8624
0,0,1052,37638
0,0,688,27604
0,1,566,24828
0,0,769,35071
0,0,955,26373
0,0,643,28660
0,0,0,42745
0,0,438,45384
0,0,1279,34673
0,0,1639,30625
0,0,892,36471
0,1,316,18814
0,0,623,48875
0,0,107,42287
0,1,991,12398
0,0,0,45660
0,0,0,33120
0,0,591,35288
0,1,928,21122
0,0,305,40786
0,0,236,31337
0,1,1108,10853
0,0,687,24564
0,0,60,39865
0,0,0,34649
0,0,273,58731
1,0,1532,43930
0,0,950,47703
0,0,562,35081
0,0,468,25231
0,1,993,12216
0,0,0,31315
0,1,759,12711
0,0,1341,36440
0,1,1521,15210
0,0,134,30457
1,0,780,51657
0,0,840,22885
0,0,914,36671
0,0,925,35713
0,0,1198,54652
0,0,49,30451
0,0,971,48388
0,0,783,54082
0,1,465,20379
0,0,0,39338
0,1,732,21986
0,0,576,37680
0,1,589,16310
0,0,863,43779
0,0,858,49675
0,0,362,33675
0,0,891,36023
0,0,918,44739
0,0,1335,21151
0,0,421,39874
0,1,744,18884
0,0,774,41872
0,0,731,45252
0,0,964,36330
0,1,350,17657
0,0,1207,37126
0,0,1052,52888
0,0,455,45572
0,0,933,42759
0,0,536,36259
0,0,242,41186
0,0,1027,42042
0,1,188,18279
0,0,198,58647
0,0,586,43288
0,1,1947,12147
0,0,830,39718
0,0,197,35488
0,0,592,31439
0,0,0,39742
0,1,1008,11939
0,1,1052,17411
0,0,332,49756
0,0,913,29415
0,1,561,21747
0,0,247,47693
0,0,579,46305
0,0,558,62353
0,1,788,10418
0,0,1061,39174
0,1,1248,19817
0,0,1184,34260
0,0,1025,33072
0,0,1080,43368
0,0,540,26267
0,0,1449,33836
0,1,561,27421
0,0,1191,30041
0,0,565,38203
0,0,483,35845
0,0,950,37486
0,1,351,21235
1,1,1551,19028
0,0,982,37748
0,0,1442,10922
0,0,1060,56607
0,0,1155,61794
0,1,544,20057
0,0,1137,27589
0,0,414,47811
0,1,436,17504
0,0,988,25810
0,0,679,46604
0,0,1378,51633
0,0,857,32437
0,0,1037,44924
0,0,0,46827
0,0,961,51937
0,0,276,35623
0,0,427,30769
0,0,290,46214
0,0,935,42326
0,1,669,26342
0,1,2005,27137
0,0,1313,29938
0,1,662,15092
0,0,525,36121
0,1,1213,21058
0,0,961,30291
1,1,1504,13965
0,1,614,25040
0,1,1233,13402
0,0,1221,36961
0,0,1217,46257
0,0,629,43205
0,1,819,15958
0,1,843,12710
0,0,1174,29141
0,1,1196,13330
0,0,1203,12288
0,0,25,29317
0,0,853,29484
0,0,399,40224
0,1,1521,18150
0,1,1160,15941
0,0,986,49948
0,0,584,38216
0,1,639,18148
0,0,385,25381
0,0,1051,31559
1,1,1872,18077
0,0,794,35158
0,1,592,21791
0,0,419,24002
0,1,514,18185
0,0,1028,21552
0,1,1030,15977
0,1,954,18363
0,1,1463,11579
0,0,1172,34690
0,1,548,12049
0,0,1753,48250
0,1,556,23910
0,1,1561,13622
0,1,840,16883
0,1,1113,13635
0,0,1309,43278
0,0,941,41560
0,0,1019,41195
0,0,434,32905
0,0,1015,42050
0,0,75,52766
0,0,1050,39586
0,0,49,35155
0,0,1722,48236
0,0,1607,48701
0,0,1180,43914
0,0,610,40876
0,1,1054,19441
0,1,794,19074
0,0,880,30021
0,0,1238,29151
0,1,1413,18234
0,1,1175,13026
0,0,363,44326
0,0,919,44928
0,1,1195,21649
0,1,794,15722
0,0,10,33777
0,0,0,31083
0,1,499,16968
0,1,1227,18459
1,0,1903,53394
0,1,1059,11742
0,1,450,21178
0,0,419,55003
0,0,1070,32939
0,0,1307,56641
0,1,1315,8431
0,0,75,19146
0,0,66,38927
0,0,56,54217
0,0,1057,25124
0,0,259,51355
0,1,1144,23501
0,1,0,15682
0,0,878,30240
0,0,919,45316
0,0,95,27213
0,0,333,29413
0,0,198,30971
0,0,625,41048
0,0,138,54407
0,0,788,46186
0,0,1031,36271
0,0,1050,30159
0,0,0,35739
0,1,1130,18467
0,0,796,51303
0,1,1504,18711
0,0,436,46072
0,0,801,36314
1,1,1881,16580
0,1,1445,18633
0,0,1166,23994
0,0,164,38970
0,0,0,46354
0,0,1322,47814
0,0,1284,61526
0,0,1001,43059
0,0,250,47602
0,0,500,38991
0,0,568,36374
0,1,1047,13714
0,1,187,15977
0,0,783,39224
0,0,389,18008
0,1,843,17280
0,0,556,44198
0,0,1235,48112
0,0,413,42123
0,0,683,29269
0,0,872,48102
0,0,416,24741
0,1,1518,16740
0,0,254,44612
0,0,1507,24058
0,0,901,40849
0,0,595,46012
0,1,164,21083
0,0,390,43473
0,1,1335,14835
0,1,1962,17864
0,0,1173,36440
0,0,1102,23218
0,0,1229,46412
1,0,1506,29526
0,1,1218,21160
0,1,843,12043
0,0,1005,59404
0,0,294,57500
0,0,485,24570
0,0,776,34586
0,1,1339,21032
0,0,802,39157
0,0,552,37573
0,1,522,23440
0,1,1237,20660
0,0,320,57563
0,0,961,30094
0,0,272,29774
0,0,927,33782
0,0,76,55190
0,0,1286,37636
0,0,1472,32478
0,1,808,14485
0,0,747,42900
0,0,328,23865
0,1,851,18787
0,0,111,27370
0,0,542,57322
0,0,0,36269
0,0,1201,51741
0,0,57,18983
0,1,785,32946
0,1,384,17445
0,0,1107,52765
0,0,397,55455
0,0,0,44807
0,0,924,45207
0,0,602,33203
0,1,829,17962
0,1,2,20837
0,1,894,18002
0,0,1234,31313
0,0,406,42642
0,1,1052,12376
0,1,1086,18890
0,0,1656,41133
0,1,243,20427
0,1,602,12928
0,0,188,59661
0,0,331,34498
0,0,911,57131
0,0,391,39762
0,0,1450,33957
0,0,820,28960
0,1,1590,18666
0,1,1257,22494
1,1,1889,22652
0,0,744,10775
0,0,343,29556
0,0,535,44079
0,0,1208,34858
0,0,565,39829
0,1,495,22938
0,0,903,38648
0,1,1741,18544
0,0,1167,52700
0,1,631,23245
0,1,1077,14668
1,0,1244,37634
0,0,2113,34748
0,0,1296,43313
0,0,1089,47148
0,0,825,42314
0,0,684,37011
0,0,37,26222
0,1,878,18415
0,0,904,40683
0,1,942,22181
0,1,957,16323
0,0,285,17607
0,1,1468,19846
0,0,323,27669
0,0,414,40877
0,0,1105,36813
0,0,0,31935
0,0,620,13902
0,0,294,56677
0,1,637,19705
0,0,1110,69325
0,0,1223,52903
0,1,1184,13082
0,0,570,54335
0,0,626,46026
0,0,834,16909
0,0,866,44827
0,1,945,17279
0,0,1555,43902
0,0,576,51928
0,0,1142,38723
0,0,1147,45377
0,0,0,34306
0,0,435,35455
0,0,1026,39136
0,1,1303,29252
0,0,691,59562
0,0,574,40728
0,0,0,43347
0,1,251,13059
0,1,1252,16491
0,0,208,52249
1,0,1753,48965
0,1,1280,21108
0,0,863,36462
0,0,1144,33395
0,0,1253,71239
0,0,624,25558
0,1,1028,14322
1,0,1964,50554
0,0,752,32540
0,0,954,32640
0,0,773,66749
0,0,433,52238
0,0,798,31617
0,0,241,56089
0,0,662,31815
0,1,1056,15432
0,0,741,43016
0,0,0,42285
0,0,982,41123
0,0,1570,42781
0,0,137,45596
0,1,732,18117
0,0,718,32041
0,1,1005,18262
0,0,562,31193
1,0,2033,44998
0,0,639,46705
0,1,1105,11529
0,0,0,29514
0,0,634,34291
0,1,1526,20894
0,0,523,43026
0,0,853,47382
0,0,1225,39339
0,1,1560,22048
0,0,260,34932
0,0,1321,50505
0,0,1444,45089
0,0,792,30304
0,0,923,33445
0,0,81,35888
0,0,193,34728
0,0,939,45519
0,0,1337,30787
1,0,1489,49803
0,1,375,13709
0,1,773,18978
0,0,581,44601
0,0,461,43148
1,1,1425,25398
0,1,1139,17140
0,0,1032,41674
0,0,97,44556
0,0,339,42679
0,1,1331,13793
0,0,0,34480
0,0,616,42437
0,0,600,30147
0,1,1467,20904
0,0,593,49925
0,0,787,49433
0,0,927,48753
0,0,1175,37463
0,1,1698,23296
0,0,576,54203
0,0,1386,54404
0,1,1222,23153
0,0,1556,26906
0,0,1104,52822
1,0,1496,40215
0,1,976,25920
0,1,781,23403
0,1,940,18940
0,0,375,32531
0,0,628,51770
0,0,1304,49372
0,0,1496,37534
0,1,1006,15851
0,0,829,46061
0,1,1144,18903
0,0,1386,42538
0,1,1322,11454
0,0,1121,35766
0,0,548,45966
0,0,814,42462
0,0,75,52166
0,0,598,28621
0,1,63,12308
0,0,0,48642
0,0,1554,35929
0,0,814,46420
0,0,1386,42875
0,0,934,43694
0,1,1240,20135
0,0,0,33782
0,0,614,30834
0,0,254,53125
0,1,948,17094
0,1,113,16101
0,1,827,18893
0,0,485,43900
0,1,271,25158
0,0,1018,52510
0,0,0,43731
0,1,0,16421
0,0,1102,36555
0,1,1472,18913
0,0,1058,40708
0,0,353,17626
0,0,1030,50636
0,0,1309,35965
0,1,1582,10538
0,0,918,53710
0,0,638,40324
0,0,369,38468
0,1,985,18500
0,0,307,32429
0,0,1206,43715
0,0,1080,40505
0,0,555,40046
0,0,905,39294
0,1,1349,20870
0,1,1462,19252
0,0,443,29811
1,0,2024,51509
0,0,1517,39368
0,1,521,18256
0,0,851,44502
0,0,926,49920
0,1,1276,9612
0,0,250,20684
0,1,1564,19373
0,0,443,37640
0,0,324,33992
0,1,512,24950
0,1,525,14155
0,0,741,38661
0,1,1994,14305
0,0,1176,24001
0,0,284,41244
0,0,566,39109
0,0,48,31150
0,0,777,45083
0,0,354,65527
0,0,76,53594
0,0,840,45995
0,1,754,22426
0,1,833,23630
0,0,277,27549
0,0,1595,37092
0,0,0,40393
0,1,1282,14236
0,0,1470,40175
0,0,0,38166
0,0,891,46612
0,0,494,51518
0,1,885,24307
0,0,0,32583
0,0,1029,47945
0,1,426,13276
0,0,1132,52490
0,0,965,46218
1,0,2499,51504
0,1,1435,11347
0,1,1391,8638
0,1,1804,17666
0,1,322,19229
0,0,1507,41932
1,1,1402,12104
1,0,1379,38882
0,0,1233,57182
0,0,135,35756
0,1,423,18787
0,0,1374,21785
0,0,661,55592
0,0,1428,27426
0,0,939,39460
0,0,608,56483
0,0,1478,46965
0,1,1471,17876
0,1,1489,20740
0,0,0,49608
0,1,328,19566
0,1,1334,21087
0,0,765,40593
0,0,110,52106
1,1,2503,14948
0,0,604,36593
0,1,1595,22645
0,0,0,50076
0,0,441,50902
0,1,877,13373
0,0,1367,35567
0,0,1130,32795
0,0,1077,56862
0,0,1411,26040
0,0,0,45788
0,0,862,27356
0,0,1186,56484
0,0,902,57100
0,1,774,14842
0,0,1388,30717
0,0,1208,37356
0,1,456,12587
0,1,551,19110
0,1,1485,22965
0,1,442,15262
0,0,810,28057
0,0,1137,49811
0,1,1402,13871
0,0,1542,29375
0,0,899,63041
0,1,700,18703
0,1,895,23796
0,0,770,48489
0,0,842,53779
0,0,44,30449
0,0,377,42257
0,0,265,49216
0,0,522,37342
0,0,1682,41867
0,0,1070,55422
0,0,376,37926
0,1,671,19836
0,0,319,49306
0,1,955,25315
0,0,1124,24902
0,0,994,34836
0,0,279,54559
0,0,1553,44150
0,0,0,34523
0,0,484,36497
0,1,312,18534
0,0,536,32994
0,0,128,27484
1,1,1507,23899
0,0,1351,40947
0,0,723,42752
0,1,1041,22618
0,0,1102,34247
0,1,420,16420
1,0,1278,36676
0,0,542,52742
0,0,402,47176
0,0,507,51114
0,0,1160,23498
0,0,1278,56606
0,1,1201,18974
0,1,1419,11557
0,1,480,14593
0,0,371,31140
0,0,738,51138
0,0,502,41367
0,0,1682,30442
0,1,813,21074
0,0,684,46938
0,1,1037,15197
0,1,471,24945
0,0,336,39707
0,1,444,13137
0,0,967,35269
0,0,549,15706
0,0,1601,17975
0,0,902,59695
0,0,0,37554
0,0,1433,41744
0,1,503,13376
0,0,433,35859
0,0,406,36750
0,0,935,56611
0,1,1546,12161
0,0,94,19811
0,1,192,24050
0,0,717,24016
0,1,1157,21222
0,0,72,39561
0,1,1417,20464
0,0,1195,38453
0,0,559,55007
0,0,0,37500
0,0,359,25243
1,1,2123,23836
0,0,1317,20353
0,0,1172,34514
0,0,1453,36828
0,1,324,12327
0,0,1153,27346
0,0,1334,57662
0,0,710,37992
0,0,731,33127
0,1,279,19742
0,0,0,17059
0,1,631,16502
0,0,543,31268
0,0,619,27907
0,1,1053,25223
0,1,0,19623
0,1,1762,17032
0,0,0,43943
0,0,469,30367
0,0,700,32881
0,0,446,42612
0,0,571,39683
0,0,952,44864
0,0,585,55682
0,0,174,47750
0,1,672,15299
0,0,1340,53586
0,0,0,49233
0,1,1579,21101
0,0,917,40194
0,0,251,25962
0,0,998,38385
0,0,828,42246
0,1,1500,16943
0,0,1143,26731
0,1,1415,16738
0,0,199,33513
0,0,342,41663
0,1,147,12716
0,0,1576,30548
0,0,1830,24053
0,0,369,34526
0,1,1027,23637
0,0,0,36226
0,0,241,40122
0,0,1272,44896
0,0,361,49395
0,0,1464,32024
0,1,815,18446
0,1,1026,16431
0,0,631,30466
0,0,1624,16054
0,0,745,44965
0,0,1439,36171
0,1,1491,13033
0,1,0,13334
0,0,1163,27207
0,0,1464,34065
0,1,1310,15536
0,0,921,37936
0,1,6,18913
0,0,129,56946
0,1,1323,21149
0,0,383,15233
0,0,267,32265
0,0,429,48110
0,0,711,51036
0,1,310,12135
0,1,1318,14070
0,0,427,55503
0,0,873,31472
0,0,1106,38886
0,0,678,59417
0,1,1165,17930
0,0,215,33905
0,0,722,50952
0,1,224,18282
0,1,1199,13809
0,0,580,37278
0,0,821,34739
0,0,603,37849
0,1,378,14022
0,0,728,38431
0,1,600,18538
0,0,994,26682
0,0,1097,47235
0,0,1603,43475
0,0,1147,30637
0,0,1342,58050
0,1,1664,19848
0,0,1005,41308
0,0,963,25063
0,1,1093,27128
0,0,919,43288
0,1,177,20022
0,0,461,38818
0,1,783,20594
0,0,614,56951
0,0,362,39659
0,0,862,49672
0,1,936,19389
0,0,1223,68565
0,0,794,44145
0,0,0,13574
1,0,2221,40725
0,0,523,38063
1,0,1907,42347
0,1,1809,18805
0,0,1392,32283
0,0,1349,35870
0,0,622,51596
0,1,1274,18475
0,0,636,17356
0,0,680,33192
0,0,837,27937
0,1,1115,19169
0,1,800,16148
0,1,996,20071
0,0,1633,33456
0,0,440,24453
0,0,277,50524
0,0,1715,22824
0,0,849,29043
0,1,324,19145
0,0,794,24973
0,0,612,39444
0,1,1418,14907
0,1,1467,19140
0,1,441,19896
0,0,0,53433
0,0,885,46572
0,0,636,42452
0,0,665,32895
0,0,1100,34281
0,1,1606,13422
0,1,1704,20892
0,0,1296,39800
0,0,468,22943
0,0,304,44745
0,0,972,33775
1,0,1758,49787
0,1,1335,24622
0,0,983,40194
0,0,52,14680
0,0,402,25011
0,0,1457,40187
0,0,773,42678
0,1,1844,14238
0,1,1016,21363
0,0,989,31210
0,0,1073,45705
0,0,1577,39835
0,0,840,33977
0,1,1210,19022
0,1,715,13432
0,1,607,16374
0,0,413,43071
0,0,1184,34991
0,0,274,27997
0,1,872,9789
0,0,1725,46397
0,1,1107,15662
0,1,1161,18420
0,1,108,17942
0,0,136,42720
0,0,682,30289
0,1,792,18343
0,0,458,43135
0,0,1515,36403
0,0,816,37763
0,0,1242,41952
0,0,932,49215
0,0,608,46963
0,1,628,15423
0,1,593,22787
0,0,187,31141
0,0,736,39538
0,1,838,23699
0,0,512,43737
0,0,355,65799
0,0,1138,24098
0,0,828,53806
0,0,1219,51225
0,0,316,34251
0,1,480,14867
0,0,153,39503
0,0,1129,46690
0,1,887,14959
0,0,938,34185
0,0,1077,43973
1,0,1575,35735
0,0,148,43104
1,0,1866,49605
0,1,634,14110
0,1,0,23422
0,0,923,50800
0,0,5,28521
0,0,1198,42969
0,0,1727,43815
0,0,1075,30485
0,1,884,14740
0,0,1099,47625
0,0,949,45457
0,1,815,22948
0,0,687,35989
0,0,694,32579
0,0,815,28526
0,0,1032,59556
0,0,1319,62055
0,0,1366,51551
0,0,1033,55487
0,0,0,50231
0,0,858,54373
0,0,1156,33960
0,0,1713,34006
0,1,903,15076
0,1,212,16179
0,0,633,51149
0,1,378,19571
0,0,1000,43935
0,0,971,49044
0,0,1319,35466
0,0,286,59577
0,0,831,39724
0,1,658,19396
0,0,787,57705
0,0,111,40675
0,0,298,27839
0,1,820,19802
1,0,1791,44607
0,0,883,44207
0,1,385,17845
1,0,1568,38785
0,1,928,18148
0,0,796,28617
0,0,653,32438
0,0,315,44690
0,0,1610,38756
